IdStation,CodePostal,TypeRoute,Longitude,Latitude
3380001,03380,R,252902.817,4640600.281
3380002,03380,R,247100,4637200
3390002,03390,R,296427.508838,4632408.6476
3390003,03390,R,296098.37,4632069.49
3400001,03400,R,333500,4655800
3400002,03400,R,336500,4655300
3400003,03400,R,335500,4656300
3410001,03410,R,256800,4633800
3410003,03410,R,253451,4635961
3410004,03410,R,261336,4638763
3410005,03410,R,253386,4636215
3410007,03410,R,256452.91,4633808.109
3410008,03410,R,256526,4636701
3410009,03410,R,259264,4637713
3410010,03410,R,253472.17,4636156.05
3430001,03430,R,282700,4647400
3450001,03450,R,309430.18,4611931.01
3500001,03500,R,329422.491961,4629390.2665
3500002,03500,R,328058,4631156
3500003,03500,R,329404.326,4630650.562
3500004,03500,R,328500,4633800
3500005,03500,R,329559,4629761
3500006,03500,R,329319.612,4629027.234
3600001,03600,R,274104,4629378
3600003,03600,R,273992,4629151
3630002,03630,R,261916,4634518
3630003,03630,R,261916,4634518
3630004,03630,R,262084.04,4635532.69
3700002,03700,R,341182.476871,4611763.18824
3700004,03700,R,341759.833631,4611411.59802
3800001,03800,R,319818,4609585
3800003,03800,R,320300,4609800
3800004,03800,R,321174.619218,4609963.00266
3800005,03800,R,319600,4610400
3800006,03800,R,320100,4608000
4000001,04000,R,618817.468927,4407621.4467
4000003,04000,R,622190,4408808
4000004,04000,R,623748,4408960
4100001,04204,R,594679.759778,4418816.66081
4100002,04100,R,582400,4385000
4100003,04100,R,578753,4382376
4100007,04100,R,580291.655555,4383968.73172
4100008,04100,R,578720.85229392,4382261.2176294
4100009,04100,R,578257,4383037
4100010,04100,R,578753,4382376
4100011,04100,R,578720.85229392,4382261.2176294
4103001,04100,R,579900,4381800
4120002,04120,R,634200,4378000
4120003,04120,R,651220,4384706
4120004,04120,R,650791.1,4385133.01
4130001,04130,A,585145,4384527
4130002,04130,A,585142.10224648,4384288.5752118
4130003,04130,A,589247,4394225
4130004,04130,A,589247,4394225
4130005,04130,A,585142.10224648,4384288.5752118
4140001,04140,R,637909.1614961,4434026.7329267
4160001,04160,R,600926.637881,4408783.01118
4160002,04160,R,601047,4409926
4160003,04160,R,600300,4408200
4160004,04600,R,600926.637881,4408783.01118
4170001,04170,R,650681,4396653
4170002,04170,R,650675.360333,4396681.59371
4170003,04170,R,650654,4396477
4190001,04190,R,597200,4403200
4200001,04200,R,594447,4419278
4200003,04200,R,595926,4414295
4200006,04200,A,596297,4413503
4200007,04200,R,594456,4419250
