IdStation,CodePostal,TypeRoute,Long,Lat
50200003,50200,R,-144591,4903819
50200004,50200,R,-143923.428827,4905058.15682
50200005,50200,R,-143706,4906230
50200006,50200,R,-143982,4905210
50200008,50200,R,-144603,4903827
50200009,50200,R,-144322.98,4904393.76
50204001,50204,R,-145513,4905147
50220001,50220,R,-128627,4861727
50220002,50220,R,-128002.532061,4861710.31152
50230001,50230,R,-159300,4904900
50240001,50240,R,-133900,4852100
50240002,50240,A,-132638,4858491
50240003,50240,A,-132638,4858491
50250001,50250,R,-155537,4929415
50250002,50250,R,-156700,4928400
50250003,50250,R,-154404.42704,4929655.12682
50260001,50260,R,-163367,4946772
50260002,50260,R,-162700.785587,4947367.92219
50260003,50260,R,-164000,4946800
50260004,50260,R,-162800,4947300
50270002,50270,R,-175198,4938496
50290001,50290,R,-151309,4889981
50290002,50290,R,-150397,4890339
50300001,50300,R,-136517.701015,4867649.41781
50300002,50300,R,-135476.547151,4867313.36363
50300004,50300,R,-136356,4868647
50300005,50300,R,-135100,4867800
50300006,50300,R,-131919,4870920
50304001,50300,R,-134000,4868000
50310002,50310,R,-139445,4949052
50320001,50320,R,-139800,4879700
50330002,50330,R,-139100,4966700
50330003,50330,R,-141140,4966026
50340001,50340,R,-178700,4947400
50340002,50340,R,-181221.475085,4951185.93044
50340003,50340,R,-180055,4951595
50350001,50350,R,-158481,4884314
50360002,50360,R,-142300,4937900
50360003,50360,R,-141538,4938107
50370002,50370,R,-116704.619218,4872241.84794
50370003,50370,R,-116958.900338,4872486.89288
50370004,50370,R,-116728,4872957
50370005,50370,R,-116600,4872600
50380001,50380,R,-154426.677,4881426.145
50390001,50390,R,-153673,4938604
50400001,50400,R,-157713.40797817,4884085.5229703
50400003,50400,R,-155267,4883770
50410001,50410,R,-119300,4891400
50410002,50410,R,-119328,4891385
50420001,50420,A,-107600,4893200
50420002,50420,R,-105900,4897000
50430001,50430,R,-152900,4921300
50430002,50430,R,-152758,4921231
50440002,50440,R,-183636,4966203
50450001,50450,R,-135262,4891277
50460001,50460,R,-168600,4966000
50470001,50470,R,-160199,4960340
50480001,50480,R,-129500,4938000
50480002,50480,R,-132200,4940500
50500001,50500,R,-125428.308,4930901.239
50500002,50500,R,-115585.69148393,4930460.2811621
50500003,50500,R,-123086.435,4930203.551
50500004,50500,R,-125300,4930700
50500005,50500,R,-125461,4929683
50500006,50500,R,-121211.17,4930363.749
50510001,50510,R,-144121.190391,4891326
50530002,50530,R,-145700,4875200
50550001,50550,R,-128199,4958904
50550002,50550,R,-128036.27,4958908.15
50560001,50560,R,-159506.124,4906476.863
50560002,50560,R,-158500,4909700
50570001,50570,R,-124488,4910284
50570002,50570,R,-124241,4909916
50580001,50580,R,-169300,4933500
50590003,50590,R,-151945.163,4898838.313
50600002,50600,R,-108700,4858800
50600003,50600,R,-108765,4857610
50600004,50600,R,-108262,4857375
50630001,50630,R,-129949,4959838
50690001,50690,R,-164661,4961031
50690002,50690,R,-166661.2964,4955972.7311
50690003,50690,R,-166731.894,4955929.376
50700001,50700,R,-147849,4951192
50700002,50700,R,-146499,4950664
50700003,50700,R,-146900,4950000
50700004,50700,R,-145602.31,4950230.87
50710001,50710,R,-156772.469,4919874.328
50750001,50750,R,-119700,4906500
50760001,50760,R,-127000,4966600
50800001,50800,R,-120906,4884741
50800003,50800,R,-121900,4883500
50880001,50880,R,-113268,4916595
50890001,50890,R,-102953.413737,4905759.54114
51000001,51000,R,438911.136987,4894248.69967
51000003,51000,R,436209,4897001
51000005,51000,R,433178,4895457
51000006,51000,R,436683,4896280
51000007,51000,R,435300,4896700
51000009,51000,R,435700,4897900
51000012,51000,R,436369,4895588
51000013,51000,R,436369,4895588
51067001,51100,R,406300,4926000
51068001,51721,R,402900,4928600
51100001,51100,R,404689,4925166
51100002,51100,R,403950,4926584
51100003,51100,R,402625,4927202
51100005,51100,R,405933,4926462
51100006,51100,R,405639,4925940
51100013,51100,R,403775,4922813
51100014,51100,R,404547,4923929
51100015,51100,R,404694,4925620
51100018,51100,R,403819,4925698
51100024,51100,R,401662,4925467
51100025,51100,R,403025,4924985
51100026,51100,R,401871,4927414
51100027,51100,R,401720.380782,4927513.03042
51100029,51100,R,402634,4927198
51100030,51100,R,403025,4924985
51100033,51150,R,411500,4904700
51100034,51100,R,401945,4924081
51100035,51100,R,401178,4925775
